Timestamp,Humidity (%),Temperature (°C),Light (lux),Soil Moisture (%)
18:10:47,51.3,25.0,85.83,31.0
18:10:49,51.3,25.0,85.83,31.0
18:10:51,51.3,25.1,86.67,31.0
18:10:53,51.3,25.0,86.67,31.0
18:10:55,51.3,25.0,88.33,31.0
18:10:57,51.3,25.0,87.5,31.0
18:10:59,51.3,25.0,86.67,31.0
18:11:01,51.3,25.0,86.67,31.0
18:11:03,51.3,25.0,86.67,31.0
18:11:05,51.3,25.0,87.5,31.0
18:11:07,51.2,25.0,88.33,31.0
18:11:09,51.2,25.0,86.67,31.0
18:11:11,51.2,25.0,86.67,31.0
18:11:13,51.2,25.0,86.67,31.0
18:11:15,51.2,25.0,88.33,31.0
18:11:17,51.2,25.0,86.67,31.0
18:11:19,51.2,25.0,86.67,31.0
18:11:21,51.2,25.0,86.67,31.0
18:11:23,51.2,25.0,87.5,31.0
18:11:25,51.2,25.0,86.67,31.0
18:11:27,51.1,25.0,86.67,31.0
18:11:29,51.2,25.0,86.67,31.0
18:11:31,51.1,25.0,87.5,31.0
18:11:33,51.2,25.0,86.67,31.0
18:11:35,51.1,25.0,85.83,31.0
18:11:37,51.1,25.0,85.83,31.0
18:11:39,51.1,25.0,87.5,31.0
18:11:42,51.2,24.9,85.0,31.0
18:11:44,51.1,24.9,85.0,31.0
18:11:46,51.1,24.9,86.67,31.0
18:11:48,51.1,24.9,87.5,31.0
18:11:50,51.1,24.9,85.0,31.0
18:11:52,51.1,24.9,85.83,31.0
18:11:54,51.1,24.9,86.67,31.0
18:11:56,51.1,24.9,86.67,31.0
18:11:58,51.1,24.9,85.83,31.0
18:12:00,51.1,24.9,83.33,31.0
18:12:02,51.1,24.9,86.67,31.0
18:12:04,51.1,24.8,86.67,31.0
18:12:06,51.1,24.8,85.83,31.0
18:12:08,51.1,24.8,86.67,31.0
18:12:10,51.1,24.8,86.67,31.0
18:12:12,51.1,24.8,87.5,31.0
18:12:14,51.1,24.8,85.83,31.0
18:12:16,51.1,24.8,86.67,31.0
18:12:18,51.1,24.8,86.67,31.0
18:12:20,51.1,24.8,87.5,31.0
18:12:22,51.1,24.8,85.83,31.0
18:12:24,51.1,24.8,86.67,31.0
18:12:26,51.1,24.7,86.67,31.0
18:12:28,51.1,24.7,86.67,31.0
18:12:30,51.1,24.7,85.83,31.0
18:12:32,51.1,24.7,86.67,31.0
18:12:34,51.1,24.7,86.67,31.0
18:12:36,51.1,24.7,87.5,31.0
18:12:38,51.1,24.7,85.83,31.0
18:12:40,51.1,24.7,85.83,30.0
18:12:42,51.1,24.7,86.67,30.0
18:12:44,51.1,24.7,85.83,30.0
18:12:46,51.1,24.6,85.83,30.0
18:12:48,51.1,24.6,85.83,30.0
18:12:50,51.1,24.6,86.67,30.0
18:12:52,51.1,24.6,86.67,30.0
18:12:54,51.1,24.6,87.5,30.0
18:12:56,51.1,24.6,86.67,30.0
18:12:58,51.1,24.6,85.83,30.0
18:13:00,51.1,24.6,85.83,30.0
18:13:02,51.1,24.6,85.83,30.0
18:13:04,51.1,24.6,85.83,30.0
18:13:06,51.1,24.6,86.67,30.0
18:13:08,51.1,24.5,86.67,30.0
18:13:10,51.1,24.5,87.5,30.0
18:13:12,51.1,24.5,86.67,30.0
18:13:14,51.1,24.5,85.83,30.0
18:13:16,51.1,24.5,85.83,30.0
18:13:18,51.1,24.5,87.5,30.0
18:13:20,51.1,24.5,86.67,30.0
18:13:22,51.1,24.5,86.67,30.0
18:13:24,51.1,24.5,85.83,30.0
18:13:26,51.1,24.5,85.83,30.0
18:13:28,51.1,24.5,85.83,30.0
18:13:30,51.1,24.5,86.67,30.0
18:13:32,51.1,24.5,86.67,30.0
18:13:34,51.1,24.4,85.83,30.0
18:13:36,51.1,24.4,85.83,30.0
18:13:38,51.2,24.4,85.83,30.0
18:13:40,51.2,24.4,86.67,30.0
18:13:43,51.2,24.4,85.83,30.0
18:13:45,51.2,24.4,86.67,30.0
18:13:47,51.2,24.4,86.67,30.0
18:13:49,51.2,24.4,86.67,30.0
18:13:51,51.2,24.4,87.5,30.0
18:13:53,51.2,24.3,86.67,30.0
18:13:55,51.2,24.3,85.83,30.0
18:13:57,51.2,24.3,85.83,30.0
18:13:59,51.2,24.3,86.67,30.0
18:14:01,51.2,24.3,85.83,30.0
18:14:03,51.2,24.3,85.83,30.0
18:14:05,51.2,24.3,86.67,30.0
18:14:07,51.2,24.3,86.67,30.0
18:14:09,51.2,24.3,86.67,30.0
18:14:11,51.2,24.3,86.67,30.0
18:14:13,51.3,24.2,85.83,30.0
18:14:15,51.2,24.3,85.83,30.0
18:14:17,51.3,24.2,85.83,30.0
18:14:19,51.2,24.2,85.83,30.0
18:14:21,51.3,24.2,86.67,30.0
18:14:23,51.3,24.2,86.67,30.0
18:14:25,51.3,24.2,87.5,30.0
18:14:27,51.3,24.2,86.67,30.0
18:14:29,51.3,24.2,85.83,30.0
18:14:31,51.4,24.2,85.83,30.0
18:14:33,51.4,24.2,85.83,30.0
18:14:35,51.3,24.2,85.83,30.0
18:14:37,51.4,24.2,86.67,30.0
18:14:39,51.4,24.1,87.5,30.0
18:14:41,51.4,24.1,86.67,30.0
18:14:43,51.4,24.1,86.67,30.0
18:14:45,51.4,24.1,85.83,30.0
18:14:47,51.5,24.1,86.67,30.0
18:14:49,51.4,24.1,87.5,30.0
18:14:51,51.5,24.1,86.67,30.0
18:14:53,51.5,24.1,86.67,30.0
18:14:55,51.5,24.1,85.83,30.0
18:14:57,51.5,24.1,85.83,30.0
18:14:59,51.5,24.1,86.67,30.0
18:15:01,51.6,24.0,86.67,30.0
18:15:03,51.6,24.0,87.5,30.0
18:15:05,51.6,24.0,85.83,30.0
18:15:07,51.6,24.0,85.83,30.0
18:15:09,51.6,24.0,85.83,30.0
18:15:11,51.6,24.0,86.67,30.0
18:15:13,51.7,24.0,87.5,30.0
18:15:15,51.7,24.0,86.67,30.0
18:15:17,51.7,24.0,85.83,30.0
18:15:19,51.7,24.0,86.67,30.0
18:15:21,51.8,24.0,85.83,30.0
18:15:23,51.8,24.0,85.83,30.0
18:15:25,51.8,24.0,86.67,30.0
18:15:27,51.8,24.0,86.67,30.0
18:15:29,51.8,24.0,87.5,30.0
18:15:31,51.8,23.9,87.5,30.0
18:15:33,51.8,24.0,85.83,30.0
18:15:35,51.8,24.0,86.67,30.0
18:15:37,51.9,24.0,85.83,30.0
18:15:39,51.9,24.0,85.83,30.0
18:15:41,51.9,24.0,85.83,30.0
18:15:44,51.9,24.0,85.83,30.0
18:15:46,51.9,23.9,85.83,30.0
18:15:48,51.9,23.9,86.67,30.0
18:15:50,51.9,23.9,85.83,30.0
18:15:52,52.0,23.9,86.67,30.0
18:15:54,52.0,23.9,87.5,30.0
18:15:56,52.0,23.9,86.67,30.0
18:15:58,52.0,23.9,87.5,30.0
18:16:00,52.0,23.9,86.67,30.0
18:16:02,52.1,23.9,85.83,30.0
18:16:04,52.1,23.9,86.67,30.0
18:16:06,52.1,23.9,87.5,30.0
18:16:08,52.1,23.9,86.67,30.0
18:16:10,52.1,23.9,85.83,30.0
18:16:12,52.1,23.9,85.0,30.0
18:16:14,52.1,23.9,85.83,30.0
18:16:16,52.1,23.9,85.0,30.0
18:16:18,52.1,23.9,85.83,30.0
18:16:20,52.2,23.9,86.67,30.0
18:16:22,52.2,23.9,85.83,30.0
18:16:24,52.2,23.9,86.67,30.0
18:16:26,52.2,23.9,85.83,30.0
18:16:28,52.2,23.9,86.67,30.0
18:16:30,52.2,23.9,87.5,30.0
18:16:32,52.2,23.9,86.67,30.0
18:16:34,52.2,23.9,87.5,30.0
18:16:36,52.3,23.9,87.5,30.0
18:16:38,52.2,23.9,88.33,30.0
18:16:40,52.3,23.9,87.5,30.0
18:16:42,52.3,23.9,86.67,30.0
18:16:44,52.3,23.9,86.67,30.0
18:16:46,52.3,23.9,85.83,30.0
18:16:48,52.4,23.8,85.83,30.0
18:16:50,52.4,23.9,86.67,30.0
18:16:52,52.4,23.9,85.83,30.0
18:16:54,52.4,23.9,86.67,30.0
18:16:56,52.4,23.9,86.67,30.0
18:16:58,52.4,23.9,85.83,30.0
18:17:00,52.4,23.9,86.67,30.0
18:17:02,52.4,23.9,85.83,30.0
18:17:04,52.5,23.9,86.67,30.0
18:17:06,52.4,23.9,86.67,30.0
18:17:08,52.5,23.9,86.67,30.0
18:17:10,52.5,23.9,87.5,30.0
18:17:12,52.5,23.9,85.83,30.0
18:17:14,52.5,23.9,85.83,30.0
18:17:16,52.5,23.9,86.67,30.0
18:17:18,52.5,23.9,85.83,30.0
18:17:20,52.5,23.9,86.67,30.0
18:17:22,52.5,23.9,85.83,30.0
18:17:24,52.5,23.9,85.0,30.0
18:17:26,52.5,23.9,85.83,30.0
18:17:28,52.5,23.9,85.83,30.0
18:17:30,52.5,23.9,86.67,30.0
18:17:32,52.5,23.9,85.83,30.0
18:17:34,52.5,23.9,86.67,30.0
18:17:36,52.5,23.9,85.0,30.0
18:17:38,52.5,23.9,85.83,30.0
18:17:40,52.5,23.9,86.67,30.0
18:17:42,52.5,23.9,86.67,30.0
18:17:45,52.5,23.9,86.67,30.0
18:17:47,52.5,23.9,86.67,30.0
18:17:49,52.5,23.9,86.67,30.0
18:17:51,52.5,23.9,85.83,30.0
18:17:53,52.5,24.0,85.0,30.0
18:17:55,52.5,23.9,85.83,30.0
18:17:57,52.5,23.9,85.83,30.0
18:17:59,52.5,23.9,85.83,30.0
18:18:01,52.5,24.0,85.83,30.0
18:18:03,52.5,24.0,85.0,30.0
18:18:05,52.5,24.0,85.83,30.0
18:18:07,52.5,24.0,85.0,30.0
18:18:09,52.5,24.0,85.83,30.0
18:18:11,52.5,24.0,86.67,30.0
18:18:13,52.5,24.0,85.0,30.0
18:18:15,52.5,24.0,85.0,30.0
18:18:17,52.5,24.0,85.0,30.0
18:18:19,52.5,24.0,86.67,30.0
18:18:21,52.5,24.0,85.83,30.0
18:18:23,52.5,24.0,85.83,30.0
18:18:25,52.5,24.0,85.0,30.0
18:18:27,52.5,24.0,85.83,30.0
18:18:29,52.5,24.0,85.83,30.0
18:18:31,52.5,24.0,85.83,30.0
18:18:33,52.5,24.0,85.0,30.0
18:18:35,52.5,24.0,85.83,30.0
18:18:37,52.5,24.0,86.67,30.0
18:18:39,52.5,24.0,86.67,30.0
18:18:41,52.5,24.0,85.83,30.0
18:18:43,52.5,24.0,85.0,30.0
18:18:45,52.5,24.0,86.67,30.0
18:18:47,52.5,24.0,85.0,30.0
18:18:49,52.5,24.0,85.0,30.0
18:18:51,52.5,24.0,85.0,30.0
18:18:53,52.5,24.0,85.83,30.0
18:18:55,52.5,24.0,86.67,30.0
18:18:57,52.5,24.0,85.0,30.0
18:18:59,52.5,24.0,85.83,30.0
18:19:01,52.5,24.0,85.0,30.0
18:19:03,52.5,24.0,85.83,30.0
18:19:05,52.5,24.0,85.83,30.0
18:19:07,52.4,24.0,85.83,30.0
18:19:09,52.4,24.0,85.0,30.0
18:19:11,52.4,24.0,85.0,30.0
18:19:13,52.4,24.0,85.83,30.0
